Title,List_Name,PARAM n-value,PARAM regression,PARAM sensitivity,PARAM training period,HPI,Card_ID,Exchange,Industry,Key Parameters,Last 12 months,Maximum Stop Loss %,Min_Stoploss%,Number of trades,Parameter n_components,Parameter poly_degree,Parameter std_multiplier,Parameter train_window,Regression,Run Date,Score,Sector,Sensitivity,Ticker,Training Period,n-value,n_components,poly_degree,std_multiplier,train_window
0590.HK LUK FOOK HOLD,Purchase T-1,2.0,3.0,3.0,189.0,16.646866665081603,69b1e565ed8d81926f094ca7,HKG,N/A,,,,-6.807129450725991,"('# of trades', '')",2,3,3.0,189,,2026-03-12,16.646866665081603,N/A,,0590.HK,,,2.0,3.0,3.0,189.0
AQLT.AX BetaShares Australian Quality ETF,Purchase T-1,2.0,3.0,1.0,189.0,8.49901995482596,69b1e550a27e340f901833cb,ASX,N/A,,,,-10.384865575635647,"('# of trades', '')",2,3,1.0,189,,2026-03-12,8.49901995482596,N/A,,AQLT.AX,,,2.0,3.0,1.0,189.0
ANZ.AX ANZ Group Holdings Limited (75%),Purchase T-1,4.0,2.0,2.33,189.0,17.44148188953511,69b1e54cd9e0d525ea19a3cc,ASX,N/A,,,,-9.181235671521168,"('# of trades', '')",4,2,2.33,189,,2026-03-12,17.44148188953511,N/A,,ANZ.AX,,,4.0,2.0,2.33,189.0
9896.HK MINISO Group Holding Limited,Purchase T-1,4.0,1.0,1.33,504.0,10.598325233133318,69b1e5632dfb1e5c67c9234e,HKG,N/A,,,,-15.41502369123568,"('# of trades', '')",4,1,1.33,504,,2026-03-12,10.598325233133318,N/A,,9896.HK,,,4.0,1.0,1.33,504.0
WPC W. P. Carey Inc.,Purchase T-1,2.0,3.0,2.0,189.0,9.801330082663434,69b3313f7e73fc445134ff5f,NYQ,REIT - Diversified,,24.62389181683984,-15.244527140710415,,14,,,,,3,2026-03-13,9.801330082663434,Real Estate,2.0,WPC,189,2,2.0,3.0,2.0,189.0
TDW Tidewater Inc.,Purchase T-1,4.0,2.0,2.66,126.0,109.014559135574,69b3313fef773170fe7b93f1,NYQ,Oil & Gas Equipment & Services,,169.50760395015791,-33.19747743777566,,12,,,,,2,2026-03-13,109.014559135574,Energy,2.66,TDW,126,4,4.0,2.0,2.66,126.0
STAF.L Staffline Group PLC,Purchase T-1,3.0,3.0,2.0,504.0,9.70916480202806,69b3313819a48b9f8d6c5297,LSE,Staffing & Employment Services,,112.46529143168846,-33.68607060284663,,6,,,,,3,2026-03-13,9.70916480202806,Industrials,2.0,STAF.L,504,3,3.0,3.0,2.0,504.0
SSM.AX Service Stream Limited,Purchase T-1,3.0,2.0,2.33,504.0,4.103736781596624,69b3313125c2afa035427e28,ASX,Engineering & Construction,,61.03360016225675,0.0,,2,,,,,2,2026-03-13,4.103736781596624,Industrials,2.33,SSM.AX,504,3,3.0,2.0,2.33,504.0
PLSR.L Pulsar Helium Inc.,Purchase T-1,3.0,1.0,1.0,126.0,70.18419275556437,69b331374d096ec20942b126,LSE,Other Industrial Metals & Mining,,nan,-9.58904109589041,,4,,,,,1,2026-03-13,70.18419275556437,Basic Materials,1.0,PLSR.L,126,3,3.0,1.0,1.0,126.0
P15.SI Pacific Century Regional Developments Limited,Purchase T-1,3.0,1.0,1.0,189.0,29.803656270248425,69b1e583c3709b67437fc562,SES,nan,,56.9541789536344,-3.571420855920753,,24,,,,,1,2026-03-13,29.803656270248425,nan,1.0,P15.SI,189,3,3.0,1.0,1.0,189.0
OCFC OceanFirst Financial Corp.,Purchase T-1,4.0,1.0,1.33,189.0,36.482916313775206,69b3313c54c12eddfebb7244,NMS,Banks - Regional,,29.202014748712184,-16.659868445974098,,24,,,,,1,2026-03-13,36.482916313775206,Financial Services,1.33,OCFC,189,4,4.0,1.0,1.33,189.0
